Title,Date,Issues,Signatures,Tags,Url
"Immediately release Donald Trump's full tax returns, with all information needed to verify emoluments clause compliance.","Created by A.D. on January 20, 2017","The unprecedented economic conflicts of this administration need to be visible to the American people, including any pertinent documentation which can reveal the foreign influences and financial interests which may put Donald Trump in conflict with the emoluments clause of the Constitution.
","1,100,189","[u'Foreign Policy', u'Government & Regulatory Reform']",https://petitions.whitehouse.gov/petition/immediately-release-donald-trumps-full-tax-returns-all-information-needed-verify-emoluments-clause-compliance
Divest or put in a blind trust all of the President's business and financial assets,"Created by H.B. on January 20, 2017","In keeping with tradition and to avoid the appearance of conflicts of interest, corruption, and violations of the emoluments clause of the US Constitution, President Trump should divest his financial and business holdings or have them administered by a truly blind trust.
","352,948",Government & Regulatory Reform,https://petitions.whitehouse.gov/petition/divest-or-put-blind-trust-all-presidents-business-and-financial-assets
Repeal the NFA,"Created by A.Z. on January 20, 2017","We the People wish to see the National Firearms Act of 1934 repealed in order to remove regulations on our 2nd amendment rights, increase national economic strength, and provide protection against threats to our national security.
","268,707","[u'Foreign Policy', u'Government & Regulatory Reform', u'Gun Violence']",https://petitions.whitehouse.gov/petition/repeal-nfa
Preserve the National Endowment for the Arts and the National Endowment for the Humanities,"Created by S.C. on January 21, 2017","The Arts and Humanities  are a vital part of our cultural identity and enhance the quality of our lives. They connect us to the past, they speak to us in the present, and they are our legacy, our gift to the future.  Investing in them is never a waste, and I strongly urge that both the National Endowment for the Arts and National Endowment for the Humanities continue to receive federal funding.
","221,866","[u'Budget & Taxes', u'Education', u'Innovation: Arts & Technology']",https://petitions.whitehouse.gov/petition/preserve-national-endowment-arts-and-national-endowment-humanities
#ChineseLivesMatters Calling a federal investigation into the United Airlines incident on 10th April 2017,"Created by Z.Z. on April 11, 2017","On 11th April 2017, a passenger was forcefully removed from the plane because he refused to give up his seat. He was dragged off brutally and violently. Blood is visible on his face and body. The flight was departing O'Hare Interntaional Airport in Chicago for Louisville, Kentucky.
The passenger explained that he is a doctor and he is on his way to see his patients thus he cannot reschedule his flight. This resulted in him being forcefully dragged off the plane and the force deployed caused him to bleed. 
The passenger was shouting that he was chosen to leave the flight only because he is Chinese, according to the news report by the New York Times. 
We are calling the federal government to launch an investigation into this incident. 
#ChineseLivesMatters
","211,013",Civil Rights & Equality,https://petitions.whitehouse.gov/petition/chineselivesmatters-calling-federal-investigation-united-airlines-incident-10th-april-2017
Donald Trump:  Resign as President of the United States in Violation of the Emoluments Clause.  Release Your Tax Returns,"Created by F.C. on January 20, 2017","The President violates the Title of Nobility Clause, as explained in Article I, Section 9 of the United States Constitution.
The clause states:  No title of nobility shall be granted by the United States: and no person holding any office of profit or trust under them, shall, without the consent of the Congress, accept of any present, emolument, office, or title, of any kind whatever, from any king, prince, or foreign state.
Donald Trump has known financial ties with Russia, and owes hundreds of millions of dollars in debt to banks in foreign countries, such as China. The complicated business entanglements create a conflict of interest for national security issues.  The American People deserve to see his tax returns.
Donald Trump needs to resign as President of the United States.
","136,118","[u'Civil Rights & Equality', u'Foreign Policy', u'Government & Regulatory Reform']",https://petitions.whitehouse.gov/petition/donald-trump-resign-president-united-states-violation-emoluments-clause-release-your-tax-returns
TEMPORARY PROTECTED STATUS (TPS) FOR VENEZUELA,"Created by A.K. on July 28, 2017","THE VENEZUELAN AMERICAN NATIONAL BAR ASSOCIATION (VENAMBAR) URGES YOU TO CALL UPON PRESIDENT DONALD TRUMP AND THE SECRETARY OF HOMELAND SECURITY TO RECOMMEND THAT VENEZUELA BE DESIGNATED FOR TEMPORARY PROTECTED STATUS (TPS) PURSUANT TO §244(B)(1) OF THE IMMIGRATION AND NATIONALITY ACT.
FOR MORE INFORMATION CLICK http://www.venambar.com/tps-for-venezuela.html
This humanitarian request would allow eligible nationals of Venezuela (who are currently in the United States) to obtain lawful temporary U.S. immigration status,[1] during the designated period, consistent with the immigration laws of the United States, while they are prevented from returning safely to Venezuela due to the current chaos, social unrest, violent crime, pervasive food and medicine shortage, and a non-responsive governm
","115,029","[u'Foreign Policy', u'Homeland Security & Defense', u'Immigration']",https://petitions.whitehouse.gov/petition/temporary-protected-status-tps-venezuela-0
Do not defund the NEA or NEH,"Created by A.Y. on January 21, 2017","Recent reports suggest President Donald Trump plans to defund the National Endowment for the Arts and the National Endowment for the Humanities. Without the NEA and NEH, artists and educators could be left without crucial government grants for their projects. Everything from orchestral performances to music enrichment programs in public schools would be negatively impacted.
Funding for the national endowments are a minuscule portion -- 0.004% (!) -- of the nearly $4 trillion federal budget. In 2016, the NEA and NEH each received $148 million in funding.
We ask President Trump to support the arts by not defunding the NEA and NEH.
","111,942","[u'Budget & Taxes', u'Education', u'Innovation: Arts & Technology']",https://petitions.whitehouse.gov/petition/do-not-defund-nea-or-neh-0
Let American Farmers Grow Hemp Once Again to Create Jobs and Rebuild the Rural Economy,"Created by E.S. on January 20, 2017","Industrial hemp was once a dominant crop on the American landscape. This hardy and renewable resource was refined for various industrial applications, including paper, textiles, and cordage. Unfortunately hemp was conflated with marijuana but hemp can&amp;#039;t be used as a drug. 
Over time, the use of industrial hemp has evolved into an even greater variety of products, including health foods, body care, clothing, auto parts, construction materials, biofuels, plastic composites and more.
Farmers in Europe, Canada and China all grow hemp and over $600 million in imported hemp products  were sold in the USA in 2016. Congress has 2 bipartisan bills which would bring back hemp farming and create rural jobs. We request that President Trump work with Congress to pass hemp legislation in 2017
","109,126","[u'Economy & Jobs', u'Government & Regulatory Reform', u'Rural Policy']",https://petitions.whitehouse.gov/petition/let-american-farmers-grow-hemp-once-again-create-jobs-and-rebuild-rural-economy
“EAST SEA” - Change US Policy to Recognize Both EAST SEA & Sea of Japan. Both IHO & UNCSGN Recommend Concurrent Usage.,"Created by P.K. on March 21, 2017","Name of Sea between Korea and Japan is in dispute:
1.	EAST SEA was used by Koreans more than 2,000 years. Korean National Anthem starts with EAST SEA.
2.	EAST SEA was marked as Sea of Japan in the World Map at IHO Meeting in 1929. Korea was occupied by Japanese Military Force and could not raise a voice.
3.	In 1974 & 1977, Both IHO & UNCSGN Recommended Concurrent Usage of EAST SEA and Sea of Japan.
4.	UN Resolution said “A policy of accepting only one or some of such names while excluding the rest would be inconsistent as well as inexpedient in practice.”
5.	In 2014, Virginia passed a Legislation to have all publishers to update the textbooks to have both names.
US is urged to change its policy to recognize both names & pass East Sea/Sea of Japan amendment at IHO Meeting on April 24, 2017.
","108,899","[u'Education', u'Foreign Policy', u'Veterans & Military']",https://petitions.whitehouse.gov/petition/east-sea-change-us-policy-recognize-both-east-sea-sea-japan-both-iho-uncsgn-recommend-concurrent-usage
